2020-09-17 22:48:31.698 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-09-17 22:48:31.699 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-09-17 22:48:31.700 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-09-17 22:48:31.816 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-09-17 22:48:31.816 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1255 ms
2020-09-17 22:48:32.309 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-09-17 22:48:32.481 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-09-17 22:48:32.495 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-09-17 22:48:32.514 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-09-17 22:48:32.524 [restartedMain] INFO  org.chatroom.crdemo.CrdemoApplication - Started CrdemoApplication in 2.5 seconds (JVM running for 3.493)
2020-09-17 22:48:43.364 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-09-17 22:48:43.365 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-09-17 22:48:43.369 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2020-09-17 22:49:11.673 [http-nio-8080-exec-3] INFO  org.chatroom.crdemo.controller.UserController - 注册正常
2020-09-17 22:49:32.854 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2020-09-17 22:49:32.876 [restartedMain] INFO  org.chatroom.crdemo.CrdemoApplication - Starting CrdemoApplication on DESKTOP-UQQALD5 with PID 7820 (C:\Users\V\IdeaProjects\crdemo\target\classes started by V in C:\Users\V\IdeaProjects\crdemo)
2020-09-17 22:49:32.876 [restartedMain] INFO  org.chatroom.crdemo.CrdemoApplication - No active profile set, falling back to default profiles: default
2020-09-17 22:49:32.921 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
